index,name,population,density,land-size,median_age,urban_pop,image_url,latitude,longitude
0,China,"1,439,323,776",153,"9,388,211",38,61 %,https://www.worldometers.info/img/flags/ch-flag.gif,35.86166,104.195397
1,United States,"331,002,651",36,"9,147,420",38,83 %,https://www.worldometers.info/img/flags/us-flag.gif,37.09024,-95.712891
2,Pakistan,"220,892,340",287,"770,880",23,35 %,https://www.worldometers.info/img/flags/pk-flag.gif,30.375321,69.345116
3,Nigeria,"206,139,589",226,"910,770",18,52 %,https://www.worldometers.info/img/flags/ni-flag.gif,9.081999,8.675277
4,Russia,"145,934,462",9,"16,376,870",40,74 %,https://www.worldometers.info/img/flags/rs-flag.gif,61.52401,105.318756
5,Japan,"126,476,461",347,"364,555",48,92 %,https://www.worldometers.info/img/flags/ja-flag.gif,36.204824,138.252924
6,Philippines,"109,581,078",368,"298,170",26,47 %,https://www.worldometers.info/img/flags/rp-flag.gif,12.879721,121.774017
7,Vietnam,"97,338,579",314,"310,070",32,38 %,https://www.worldometers.info/img/flags/vm-flag.gif,14.058324,108.277199
8,Turkey,"84,339,067",110,"769,630",32,76 %,https://www.worldometers.info/img/flags/tu-flag.gif,38.963745,35.243322
9,Germany,"83,783,942",240,"348,560",46,76 %,https://www.worldometers.info/img/flags/gm-flag.gif,51.165691,10.451526
10,United Kingdom,"67,886,011",281,"241,930",40,83 %,https://www.worldometers.info/img/flags/uk-flag.gif,55.378051,-3.435973
11,Italy,"60,461,826",206,"294,140",47,69 %,https://www.worldometers.info/img/flags/it-flag.gif,41.87194,12.56738
12,South Africa,"59,308,690",49,"1,213,090",28,67 %,https://www.worldometers.info/img/flags/sf-flag.gif,-30.559482,22.937506
13,Kenya,"53,771,296",94,"569,140",20,28 %,https://www.worldometers.info/img/flags/ke-flag.gif,-0.023559,37.906193
14,Colombia,"50,882,891",46,"1,109,500",31,80 %,https://www.worldometers.info/img/flags/co-flag.gif,4.570868,-74.297333
15,Uganda,"45,741,007",229,"199,810",17,26 %,https://www.worldometers.info/img/flags/ug-flag.gif,1.373333,32.290275
16,Algeria,"43,851,044",18,"2,381,740",29,73 %,https://www.worldometers.info/img/flags/ag-flag.gif,28.033886,1.659626
17,Ukraine,"43,733,762",75,"579,320",41,69 %,https://www.worldometers.info/img/flags/up-flag.gif,48.379433,31.16558
18,Afghanistan,"38,928,346",60,"652,860",18,25 %,https://www.worldometers.info/img/flags/af-flag.gif,33.93911,67.709953
19,Canada,"37,742,154",4,"9,093,510",41,81 %,https://www.worldometers.info/img/flags/ca-flag.gif,56.130366,-106.346771
20,Saudi Arabia,"34,813,871",16,"2,149,690",32,84 %,https://www.worldometers.info/img/flags/sa-flag.gif,23.885942,45.079162
21,Peru,"32,971,854",26,"1,280,000",31,79 %,https://www.worldometers.info/img/flags/pe-flag.gif,-9.189967,-75.015152
22,Malaysia,"32,365,999",99,"328,550",30,78 %,https://www.worldometers.info/img/flags/my-flag.gif,4.210484,101.975766
23,Ghana,"31,072,940",137,"227,540",22,57 %,https://www.worldometers.info/img/flags/gh-flag.gif,7.946527,-1.023194
24,Nepal,"29,136,808",203,"143,350",25,21 %,https://www.worldometers.info/img/flags/np-flag.gif,28.394857,84.124008
25,Madagascar,"27,691,018",48,"581,795",20,39 %,https://www.worldometers.info/img/flags/ma-flag.gif,-18.766947,46.869107
26,Côte d'Ivoire,"26,378,274",83,"318,000",19,51 %,https://www.worldometers.info/img/flags/iv-flag.gif,7.539989,-5.54708
27,Australia,"25,499,884",3,"7,682,300",38,86 %,https://www.worldometers.info/img/flags/as-flag.gif,-25.274398,133.775136
28,Taiwan,"23,816,775",673,"35,410",42,79 %,,23.69781,120.960515
29,Burkina Faso,"20,903,273",76,"273,600",18,31 %,https://www.worldometers.info/img/flags/uv-flag.gif,12.238333,-1.561593
30,Romania,"19,237,691",84,"230,170",43,55 %,https://www.worldometers.info/img/flags/ro-flag.gif,45.943161,24.96676
31,Chile,"19,116,201",26,"743,532",35,85 %,https://www.worldometers.info/img/flags/ci-flag.gif,-35.675147,-71.542969
32,Zambia,"18,383,955",25,"743,390",18,45 %,https://www.worldometers.info/img/flags/za-flag.gif,-13.133897,27.849332
33,Ecuador,"17,643,054",71,"248,360",28,63 %,https://www.worldometers.info/img/flags/ec-flag.gif,-1.831239,-78.183406
34,Netherlands,"17,134,872",508,"33,720",43,92 %,https://www.worldometers.info/img/flags/nl-flag.gif,52.132633,5.291266
35,Cambodia,"16,718,965",95,"176,520",26,24 %,https://www.worldometers.info/img/flags/cb-flag.gif,12.565679,104.990963
36,Somalia,"15,893,222",25,"627,340",17,47 %,https://www.worldometers.info/img/flags/so-flag.gif,5.152149,46.199616
37,Guinea,"13,132,795",53,"245,720",18,39 %,https://www.worldometers.info/img/flags/gv-flag.gif,9.945587,-9.696645
38,Benin,"12,123,200",108,"112,760",19,48 %,https://www.worldometers.info/img/flags/bn-flag.gif,9.30769,2.315834
39,Tunisia,"11,818,619",76,"155,360",33,70 %,https://www.worldometers.info/img/flags/ts-flag.gif,33.886917,9.537499
40,Belgium,"11,589,623",383,"30,280",42,98 %,https://www.worldometers.info/img/flags/be-flag.gif,50.503887,4.469936
41,Cuba,"11,326,616",106,"106,440",42,78 %,https://www.worldometers.info/img/flags/cu-flag.gif,21.521757,-77.781167
42,Dominican Republic,"10,847,910",225,"48,320",28,85 %,https://www.worldometers.info/img/flags/dr-flag.gif,18.735693,-70.162651
43,Greece,"10,423,054",81,"128,900",46,85 %,https://www.worldometers.info/img/flags/gr-flag.gif,39.074208,21.824312
44,Portugal,"10,196,709",111,"91,590",46,66 %,https://www.worldometers.info/img/flags/po-flag.gif,39.399872,-8.224454
45,Sweden,"10,099,265",25,"410,340",41,88 %,https://www.worldometers.info/img/flags/sw-flag.gif,60.128161,18.643501
46,United Arab Emirates,"9,890,402",118,"83,600",33,86 %,https://www.worldometers.info/img/flags/ae-flag.gif,23.424076,53.847818
47,Tajikistan,"9,537,645",68,"139,960",22,27 %,https://www.worldometers.info/img/flags/ti-flag.gif,38.861034,71.276093
48,Austria,"9,006,398",109,"82,409",43,57 %,https://www.worldometers.info/img/flags/au-flag.gif,47.516231,14.550072
49,Serbia,"8,737,371",100,"87,460",42,56 %,https://www.worldometers.info/img/flags/ri-flag.gif,44.016521,21.005859
50,Switzerland,"8,654,622",219,"39,516",43,74 %,https://www.worldometers.info/img/flags/sz-flag.gif,46.818188,8.227512
51,Sierra Leone,"7,976,983",111,"72,180",19,43 %,https://www.worldometers.info/img/flags/sl-flag.gif,8.460555,-11.779889
52,Laos,"7,275,560",32,"230,800",24,36 %,https://www.worldometers.info/img/flags/la-flag.gif,19.85627,102.495496
53,Bulgaria,"6,948,445",64,"108,560",45,76 %,https://www.worldometers.info/img/flags/bu-flag.gif,42.733883,25.48583
54,Lebanon,"6,825,445",667,"10,230",30,78 %,https://www.worldometers.info/img/flags/le-flag.gif,33.854721,35.862285
55,Kyrgyzstan,"6,524,195",34,"191,800",26,36 %,https://www.worldometers.info/img/flags/kg-flag.gif,41.20438,74.766098
56,Turkmenistan,"6,031,200",13,"469,930",27,53 %,https://www.worldometers.info/img/flags/tx-flag.gif,38.969719,59.556278
